PacBio_Accession	Genename_from_GTF	Genename_from_FASTA	ENSG_from_GC	PacBio_Descr_from_GTF	In_GTF	In_FASTA
ENSMUST00000080483.10	Or10al3	Or10al3	ENSMUSG00000059964	Or10al3|ENSMUST00000080483.10|nan	yes	yes
ENSMUST00000106701.2	Scp2	Scp2	ENSMUSG00000028603	Scp2|ENSMUST00000106701.2|nan	yes	yes
ENSMUST00000013882.10	Crbn	Crbn	ENSMUSG00000005362	Crbn|ENSMUST00000013882.10|nan	yes	yes
ENSMUST00000109607.10	Cpne1	Cpne1	ENSMUSG00000074643	Cpne1|ENSMUST00000109607.10|nan	yes	yes
ENSMUST00000099276.4	Atxn7l3b	Atxn7l3b	ENSMUSG00000074748	Atxn7l3b|ENSMUST00000099276.4|nan	yes	yes
ENSMUST00000014562.14	Hps5	Hps5	ENSMUSG00000014418	Hps5|ENSMUST00000014562.14|nan	yes	yes
ENSMUST00000071605.2	Or6c69	Or6c69	ENSMUSG00000063715	Or6c69|ENSMUST00000071605.2|nan	yes	yes
ENSMUST00000187339.7	Lemd1	Lemd1	ENSMUSG00000079330	Lemd1|ENSMUST00000187339.7|nan	yes	yes
ENSMUST00000027493.4	Pask	Pask	ENSMUSG00000026274	Pask|ENSMUST00000027493.4|nan	yes	yes
ENSMUST00000033650.14	Rs1	Rs1	ENSMUSG00000031293	Rs1|ENSMUST00000033650.14|nan	yes	yes
ENSMUST00000063414.9	Tbc1d22a	Tbc1d22a	ENSMUSG00000051864	Tbc1d22a|ENSMUST00000063414.9|nan	yes	yes
ENSMUST00000115777.10	Ube2v2	Ube2v2	ENSMUSG00000022674	Ube2v2|ENSMUST00000115777.10|nan	yes	yes
ENSMUST00000216227.2	Ankk1	Ankk1	ENSMUSG00000032257	Ankk1|ENSMUST00000216227.2|nan	yes	yes
ENSMUST00000232180.2	Arid1b	Arid1b	ENSMUSG00000069729	Arid1b|ENSMUST00000232180.2|nan	yes	yes
ENSMUST00000249208.1	ENSMUSG00000121557	ENSMUSG00000121557	ENSMUSG00000121557	ENSMUSG00000121557|ENSMUST00000249208.1|nan	yes	yes
ENSMUST00000137225.8	Cdkal1	Cdkal1	ENSMUSG00000006191	Cdkal1|ENSMUST00000137225.8|nan	yes	yes
ENSMUST00000182575.9	Auts2	Auts2	ENSMUSG00000029673	Auts2|ENSMUST00000182575.9|nan	yes	yes
ENSMUST00000065539.6	Dand5	Dand5	ENSMUSG00000053226	Dand5|ENSMUST00000065539.6|nan	yes	yes
ENSMUST00000026289.10	Hsd17b10	Hsd17b10	ENSMUSG00000025260	Hsd17b10|ENSMUST00000026289.10|nan	yes	yes
ENSMUST00000202170.4	Pds5b	Pds5b	ENSMUSG00000034021	Pds5b|ENSMUST00000202170.4|nan	yes	yes
ENSMUST00000208190.2	Nap1l4	Nap1l4	ENSMUSG00000059119	Nap1l4|ENSMUST00000208190.2|nan	yes	yes
ENSMUST00000049060.8	Cep135	Cep135	ENSMUSG00000036403	Cep135|ENSMUST00000049060.8|nan	yes	yes
ENSMUST00000024963.11	Mcfd2	Mcfd2	ENSMUSG00000024150	Mcfd2|ENSMUST00000024963.11|nan	yes	yes
ENSMUST00000075670.13	Slbp	Slbp	ENSMUSG00000004642	Slbp|ENSMUST00000075670.13|nan	yes	yes
ENSMUST00000034541.12	Srpr	Srpr	ENSMUSG00000032042	Srpr|ENSMUST00000034541.12|nan	yes	yes
ENSMUST00000224285.2	Kcnma1	Kcnma1	ENSMUSG00000063142	Kcnma1|ENSMUST00000224285.2|nan	yes	yes
ENSMUST00000019006.5	Otop3	Otop3	ENSMUSG00000018862	Otop3|ENSMUST00000019006.5|nan	yes	yes
ENSMUST00000022573.17	Esd	Esd	ENSMUSG00000021996	Esd|ENSMUST00000022573.17|nan	yes	yes
ENSMUST00000186057.7	Stat1	Stat1	ENSMUSG00000026104	Stat1|ENSMUST00000186057.7|nan	yes	yes
ENSMUST00000224903.2	Ddx11	Ddx11	ENSMUSG00000035842	Ddx11|ENSMUST00000224903.2|nan	yes	yes
ENSMUST00000164045.2	Vmn1r166	Vmn1r166	ENSMUSG00000096073	Vmn1r166|ENSMUST00000164045.2|nan	yes	yes
ENSMUST00000036085.11	Fbxw10	Fbxw10	ENSMUSG00000090173	Fbxw10|ENSMUST00000036085.11|nan	yes	yes
ENSMUST00000025095.9	Cox7a2l	Cox7a2l	ENSMUSG00000024248	Cox7a2l|ENSMUST00000025095.9|nan	yes	yes
ENSMUST00000005334.3	Shbg	Shbg	ENSMUSG00000005202	Shbg|ENSMUST00000005334.3|nan	yes	yes
ENSMUST00000177744.3	Cdc5lrt9	Cdc5lrt9	ENSMUSG00000112495	Cdc5lrt9|ENSMUST00000177744.3|nan	yes	yes
ENSMUST00000249865.1	Fam178b	Fam178b	ENSMUSG00000046337	Fam178b|ENSMUST00000249865.1|nan	yes	yes
ENSMUST00000046944.6	D630003M21Rik	D630003M21Rik	ENSMUSG00000037813	D630003M21Rik|ENSMUST00000046944.6|nan	yes	yes
ENSMUST00000175955.4	Pou5f2	Pou5f2	ENSMUSG00000093668	Pou5f2|ENSMUST00000175955.4|nan	yes	yes
ENSMUST00000053760.12	Utp14b	Utp14b	ENSMUSG00000079470	Utp14b|ENSMUST00000053760.12|nan	yes	yes
ENSMUST00000019854.13	Mrpl24	Mrpl24	ENSMUSG00000019710	Mrpl24|ENSMUST00000019854.13|nan	yes	yes
ENSMUST00000030583.13	Ak2	Ak2	ENSMUSG00000028792	Ak2|ENSMUST00000030583.13|nan	yes	yes
ENSMUST00000100467.10	Trrap	Trrap	ENSMUSG00000045482	Trrap|ENSMUST00000100467.10|nan	yes	yes
ENSMUST00000219084.3	Obscn	Obscn	ENSMUSG00000061462	Obscn|ENSMUST00000219084.3|nan	yes	yes
ENSMUST00000122359.8	Afap1l2	Afap1l2	ENSMUSG00000025083	Afap1l2|ENSMUST00000122359.8|nan	yes	yes
ENSMUST00000176957.8	Esd	Esd	ENSMUSG00000021996	Esd|ENSMUST00000176957.8|nan	yes	yes
ENSMUST00000079865.5	Or5p67	Or5p67	ENSMUSG00000109497	Or5p67|ENSMUST00000079865.5|nan	yes	yes
ENSMUST00000233509.2	Epb41l3	Epb41l3	ENSMUSG00000024044	Epb41l3|ENSMUST00000233509.2|nan	yes	yes
ENSMUST00000226800.2	Mbnl2	Mbnl2	ENSMUSG00000022139	Mbnl2|ENSMUST00000226800.2|nan	yes	yes
ENSMUST00000179523.2	Gm21394	Gm21394	ENSMUSG00000094660	Gm21394|ENSMUST00000179523.2|nan	yes	yes
ENSMUST00000001825.9	Chordc1	Chordc1	ENSMUSG00000001774	Chordc1|ENSMUST00000001825.9|nan	yes	yes
ENSMUST00000206068.2	Bckdk	Bckdk	ENSMUSG00000030802	Bckdk|ENSMUST00000206068.2|nan	yes	yes
ENSMUST00000159747.9	Arhgef4	Arhgef4	ENSMUSG00000037509	Arhgef4|ENSMUST00000159747.9|nan	yes	yes
ENSMUST00000237084.2	Ppp1r14b	Ppp1r14b	ENSMUSG00000056612	Ppp1r14b|ENSMUST00000237084.2|nan	yes	yes
ENSMUST00000145444.2	Dlx1	Dlx1	ENSMUSG00000041911	Dlx1|ENSMUST00000145444.2|nan	yes	yes
ENSMUST00000088585.10	Sulf1	Sulf1	ENSMUSG00000016918	Sulf1|ENSMUST00000088585.10|nan	yes	yes
ENSMUST00000178075.8	Usp19	Usp19	ENSMUSG00000006676	Usp19|ENSMUST00000178075.8|nan	yes	yes
ENSMUST00000109518.8	Rprd1b	Rprd1b	ENSMUSG00000027651	Rprd1b|ENSMUST00000109518.8|nan	yes	yes
ENSMUST00000162364.8	Mob4	Mob4	ENSMUSG00000025979	Mob4|ENSMUST00000162364.8|nan	yes	yes
ENSMUST00000023054.14	Apobec3	Apobec3	ENSMUSG00000009585	Apobec3|ENSMUST00000023054.14|nan	yes	yes
ENSMUST00000072868.5	Kcns2	Kcns2	ENSMUSG00000050963	Kcns2|ENSMUST00000072868.5|nan	yes	yes
ENSMUST00000102829.4	4930524B15Rik	4930524B15Rik	ENSMUSG00000020299	4930524B15Rik|ENSMUST00000102829.4|nan	yes	yes
ENSMUST00000025651.6	Fen1	Fen1	ENSMUSG00000024742	Fen1|ENSMUST00000025651.6|nan	yes	yes
ENSMUST00000147991.2	Paqr6	Paqr6	ENSMUSG00000041423	Paqr6|ENSMUST00000147991.2|nan	yes	yes
ENSMUST00000009689.11	Kcnq1	Kcnq1	ENSMUSG00000009545	Kcnq1|ENSMUST00000009689.11|nan	yes	yes
ENSMUST00000177389.8	Golph3l	Golph3l	ENSMUSG00000046519	Golph3l|ENSMUST00000177389.8|nan	yes	yes
ENSMUST00000132110.2	Slc4a3	Slc4a3	ENSMUSG00000006576	Slc4a3|ENSMUST00000132110.2|nan	yes	yes
ENSMUST00000165036.8	Tead1	Tead1	ENSMUSG00000055320	Tead1|ENSMUST00000165036.8|nan	yes	yes
ENSMUST00000102911.10	Slc44a1	Slc44a1	ENSMUSG00000028412	Slc44a1|ENSMUST00000102911.10|nan	yes	yes
ENSMUST00000113623.8	Glb1l	Glb1l	ENSMUSG00000026200	Glb1l|ENSMUST00000113623.8|nan	yes	yes
ENSMUST00000066070.7	Eif3k	Eif3k	ENSMUSG00000053565	Eif3k|ENSMUST00000066070.7|nan	yes	yes
ENSMUST00000102597.5	Hdac1	Hdac1	ENSMUSG00000028800	Hdac1|ENSMUST00000102597.5|nan	yes	yes
ENSMUST00000033185.10	Hpx	Hpx	ENSMUSG00000030895	Hpx|ENSMUST00000033185.10|nan	yes	yes
ENSMUST00000226276.2	Gnpnat1	Gnpnat1	ENSMUSG00000037722	Gnpnat1|ENSMUST00000226276.2|nan	yes	yes
ENSMUST00000133070.8	Zfp652	Zfp652	ENSMUSG00000075595	Zfp652|ENSMUST00000133070.8|nan	yes	yes
ENSMUST00000102843.10	Rtn4	Rtn4	ENSMUSG00000020458	Rtn4|ENSMUST00000102843.10|nan	yes	yes
ENSMUST00000037337.10	Tbc1d19	Tbc1d19	ENSMUSG00000039178	Tbc1d19|ENSMUST00000037337.10|nan	yes	yes
ENSMUST00000160584.8	Man2c1	Man2c1	ENSMUSG00000032295	Man2c1|ENSMUST00000160584.8|nan	yes	yes
ENSMUST00000027690.7	Avpr1b	Avpr1b	ENSMUSG00000026432	Avpr1b|ENSMUST00000027690.7|nan	yes	yes
ENSMUST00000155757.8	Rragc	Rragc	ENSMUSG00000028646	Rragc|ENSMUST00000155757.8|nan	yes	yes
ENSMUST00000029766.9	Bcar3	Bcar3	ENSMUSG00000028121	Bcar3|ENSMUST00000029766.9|nan	yes	yes
ENSMUST00000102536.11	Rpl11	Rpl11	ENSMUSG00000059291	Rpl11|ENSMUST00000102536.11|nan	yes	yes
ENSMUST00000209640.2	Gys1	Gys1	ENSMUSG00000003865	Gys1|ENSMUST00000209640.2|nan	yes	yes
ENSMUST00000205432.3	Fbrs	Fbrs	ENSMUSG00000042423	Fbrs|ENSMUST00000205432.3|nan	yes	yes
ENSMUST00000206658.2	Kctd14	Kctd14	ENSMUSG00000051727	Kctd14|ENSMUST00000206658.2|nan	yes	yes
ENSMUST00000093193.12	Dock2	Dock2	ENSMUSG00000020143	Dock2|ENSMUST00000093193.12|nan	yes	yes
ENSMUST00000194278.6	Traf3ip3	Traf3ip3	ENSMUSG00000037318	Traf3ip3|ENSMUST00000194278.6|nan	yes	yes
ENSMUST00000205136.2	Klf15	Klf15	ENSMUSG00000030087	Klf15|ENSMUST00000205136.2|nan	yes	yes
ENSMUST00000141815.3	Zfp952	Zfp952	ENSMUSG00000053390	Zfp952|ENSMUST00000141815.3|nan	yes	yes
ENSMUST00000191237.7	Tmem183a	Tmem183a	ENSMUSG00000042305	Tmem183a|ENSMUST00000191237.7|nan	yes	yes
ENSMUST00000125300.3	Pdlim2	Pdlim2	ENSMUSG00000022090	Pdlim2|ENSMUST00000125300.3|nan	yes	yes
ENSMUST00000018572.11	Akap1	Akap1	ENSMUSG00000018428	Akap1|ENSMUST00000018572.11|nan	yes	yes
ENSMUST00000108218.10	Klhl32	Klhl32	ENSMUSG00000040387	Klhl32|ENSMUST00000108218.10|nan	yes	yes
ENSMUST00000092498.12	Sgpl1	Sgpl1	ENSMUSG00000020097	Sgpl1|ENSMUST00000092498.12|nan	yes	yes
ENSMUST00000052659.2	Or52h1	Or52h1	ENSMUSG00000042909	Or52h1|ENSMUST00000052659.2|nan	yes	yes
ENSMUST00000106089.8	Metrnl	Metrnl	ENSMUSG00000039208	Metrnl|ENSMUST00000106089.8|nan	yes	yes
ENSMUST00000097463.11	Ifi214	Ifi214	ENSMUSG00000070501	Ifi214|ENSMUST00000097463.11|nan	yes	yes
ENSMUST00000202645.4	Zfp825	Zfp825	ENSMUSG00000069208	Zfp825|ENSMUST00000202645.4|nan	yes	yes
ENSMUST00000093912.11	Tmem94	Tmem94	ENSMUSG00000020747	Tmem94|ENSMUST00000093912.11|nan	yes	yes
ENSMUST00000238853.2	Etv3l	Etv3l	ENSMUSG00000118505	Etv3l|ENSMUST00000238853.2|nan	yes	yes
ENSMUST00000027431.7	Htr2b	Htr2b	ENSMUSG00000026228	Htr2b|ENSMUST00000027431.7|nan	yes	yes
ENSMUST00000074204.12	Slc6a15	Slc6a15	ENSMUSG00000019894	Slc6a15|ENSMUST00000074204.12|nan	yes	yes
ENSMUST00000108592.2	Gabarap	Gabarap	ENSMUSG00000018567	Gabarap|ENSMUST00000108592.2|nan	yes	yes
ENSMUST00000217887.2	Tmem19	Tmem19	ENSMUSG00000069520	Tmem19|ENSMUST00000217887.2|nan	yes	yes
ENSMUST00000230040.2	Masp1	Masp1	ENSMUSG00000022887	Masp1|ENSMUST00000230040.2|nan	yes	yes
ENSMUST00000045897.15	Ptma	Ptma	ENSMUSG00000026238	Ptma|ENSMUST00000045897.15|nan	yes	yes
ENSMUST00000104984.4	Chml	Chml	ENSMUSG00000078185	Chml|ENSMUST00000104984.4|nan	yes	yes
ENSMUST00000220873.2	Zfp37	Zfp37	ENSMUSG00000028389	Zfp37|ENSMUST00000220873.2|nan	yes	yes
ENSMUST00000057497.13	Col26a1	Col26a1	ENSMUSG00000004415	Col26a1|ENSMUST00000057497.13|nan	yes	yes
ENSMUST00000106706.8	Rgs9	Rgs9	ENSMUSG00000020599	Rgs9|ENSMUST00000106706.8|nan	yes	yes
ENSMUST00000052296.9	Pthlh	Pthlh	ENSMUSG00000048776	Pthlh|ENSMUST00000052296.9|nan	yes	yes
ENSMUST00000211822.2	Nup93	Nup93	ENSMUSG00000032939	Nup93|ENSMUST00000211822.2|nan	yes	yes
ENSMUST00000231853.2	Syngap1	Syngap1	ENSMUSG00000067629	Syngap1|ENSMUST00000231853.2|nan	yes	yes
ENSMUST00000185345.7	Cacna1c	Cacna1c	ENSMUSG00000051331	Cacna1c|ENSMUST00000185345.7|nan	yes	yes
ENSMUST00000041367.9	Dcaf15	Dcaf15	ENSMUSG00000037103	Dcaf15|ENSMUST00000041367.9|nan	yes	yes
ENSMUST00000128061.2	Bltp1	Bltp1	ENSMUSG00000037270	Bltp1|ENSMUST00000128061.2|nan	yes	yes
ENSMUST00000174609.9	Rps18	Rps18	ENSMUSG00000008668	Rps18|ENSMUST00000174609.9|nan	yes	yes
ENSMUST00000036618.14	Stab1	Stab1	ENSMUSG00000042286	Stab1|ENSMUST00000036618.14|nan	yes	yes
ENSMUST00000082357.2	Samt2b	Samt2b	ENSMUSG00000059663	Samt2b|ENSMUST00000082357.2|nan	yes	yes
ENSMUST00000022986.8	Fbxo32	Fbxo32	ENSMUSG00000022358	Fbxo32|ENSMUST00000022986.8|nan	yes	yes
ENSMUST00000188241.7	Sh3bgrl2	Sh3bgrl2	ENSMUSG00000032261	Sh3bgrl2|ENSMUST00000188241.7|nan	yes	yes
ENSMUST00000111927.8	Fgf8	Fgf8	ENSMUSG00000025219	Fgf8|ENSMUST00000111927.8|nan	yes	yes
ENSMUST00000073935.7	Gsg1l	Gsg1l	ENSMUSG00000046182	Gsg1l|ENSMUST00000073935.7|nan	yes	yes
ENSMUST00000024967.14	Msh2	Msh2	ENSMUSG00000024151	Msh2|ENSMUST00000024967.14|nan	yes	yes
ENSMUST00000236701.2	Atad1	Atad1	ENSMUSG00000013662	Atad1|ENSMUST00000236701.2|nan	yes	yes
ENSMUST00000237870.2	Tmco6	Tmco6	ENSMUSG00000006850	Tmco6|ENSMUST00000237870.2|nan	yes	yes
ENSMUST00000106733.10	Lrp8	Lrp8	ENSMUSG00000028613	Lrp8|ENSMUST00000106733.10|nan	yes	yes
ENSMUST00000102666.5	Or13p10	Or13p10	ENSMUSG00000043698	Or13p10|ENSMUST00000102666.5|nan	yes	yes
ENSMUST00000007266.14	Lsm2	Lsm2	ENSMUSG00000007050	Lsm2|ENSMUST00000007266.14|nan	yes	yes
ENSMUST00000095715.5	Bves	Bves	ENSMUSG00000071317	Bves|ENSMUST00000095715.5|nan	yes	yes
ENSMUST00000001254.6	Slc26a3	Slc26a3	ENSMUSG00000001225	Slc26a3|ENSMUST00000001254.6|nan	yes	yes
ENSMUST00000044003.14	Abca6	Abca6	ENSMUSG00000044749	Abca6|ENSMUST00000044003.14|nan	yes	yes
ENSMUST00000115224.8	Strip2	Strip2	ENSMUSG00000039629	Strip2|ENSMUST00000115224.8|nan	yes	yes
ENSMUST00000027475.15	Gigyf2	Gigyf2	ENSMUSG00000048000	Gigyf2|ENSMUST00000027475.15|nan	yes	yes
ENSMUST00000190050.2	Gm28539	Gm28539	ENSMUSG00000099908	Gm28539|ENSMUST00000190050.2|nan	yes	yes
ENSMUST00000030367.15	Ssbp3	Ssbp3	ENSMUSG00000061887	Ssbp3|ENSMUST00000030367.15|nan	yes	yes
ENSMUST00000165605.4	Grtp1	Grtp1	ENSMUSG00000038515	Grtp1|ENSMUST00000165605.4|nan	yes	yes
ENSMUST00000222651.2	Ranbp9	Ranbp9	ENSMUSG00000038546	Ranbp9|ENSMUST00000222651.2|nan	yes	yes
ENSMUST00000135507.8	Tor1b	Tor1b	ENSMUSG00000026848	Tor1b|ENSMUST00000135507.8|nan	yes	yes
ENSMUST00000249387.1	Gm3095	Gm3095	ENSMUSG00000091756	Gm3095|ENSMUST00000249387.1|nan	yes	yes
ENSMUST00000062967.10	Bicdl2	Bicdl2	ENSMUSG00000043782	Bicdl2|ENSMUST00000062967.10|nan	yes	yes
ENSMUST00000007253.6	Neu1	Neu1	ENSMUSG00000007038	Neu1|ENSMUST00000007253.6|nan	yes	yes
ENSMUST00000056522.5	Pcdhb2	Pcdhb2	ENSMUSG00000051599	Pcdhb2|ENSMUST00000056522.5|nan	yes	yes
ENSMUST00000203436.3	Serbp1	Serbp1	ENSMUSG00000036371	Serbp1|ENSMUST00000203436.3|nan	yes	yes
ENSMUST00000207801.2	Cc2d2b	Cc2d2b	ENSMUSG00000108929	Cc2d2b|ENSMUST00000207801.2|nan	yes	yes
ENSMUST00000029504.9	Cym	Cym	ENSMUSG00000046213	Cym|ENSMUST00000029504.9|nan	yes	yes
ENSMUST00000005019.6	Crabp2	Crabp2	ENSMUSG00000004885	Crabp2|ENSMUST00000005019.6|nan	yes	yes
ENSMUST00000185780.2	Sulf1	Sulf1	ENSMUSG00000016918	Sulf1|ENSMUST00000185780.2|nan	yes	yes
ENSMUST00000113297.9	Sytl4	Sytl4	ENSMUSG00000031255	Sytl4|ENSMUST00000113297.9|nan	yes	yes
ENSMUST00000072410.5	Vmn1r228	Vmn1r228	ENSMUSG00000060245	Vmn1r228|ENSMUST00000072410.5|nan	yes	yes
ENSMUST00000037839.12	Zfand1	Zfand1	ENSMUSG00000039795	Zfand1|ENSMUST00000037839.12|nan	yes	yes
ENSMUST00000014221.13	Chp1	Chp1	ENSMUSG00000014077	Chp1|ENSMUST00000014221.13|nan	yes	yes
ENSMUST00000149569.9	Apol6	Apol6	ENSMUSG00000033576	Apol6|ENSMUST00000149569.9|nan	yes	yes
ENSMUST00000249877.1	Rps6ka2	Rps6ka2	ENSMUSG00000023809	Rps6ka2|ENSMUST00000249877.1|nan	yes	yes
ENSMUST00000196734.2	Paxip1	Paxip1	ENSMUSG00000002221	Paxip1|ENSMUST00000196734.2|nan	yes	yes
ENSMUST00000198447.2	Gna12	Gna12	ENSMUSG00000000149	Gna12|ENSMUST00000198447.2|nan	yes	yes
ENSMUST00000106801.8	Ern1	Ern1	ENSMUSG00000020715	Ern1|ENSMUST00000106801.8|nan	yes	yes
ENSMUST00000129956.2	Prpf39	Prpf39	ENSMUSG00000035597	Prpf39|ENSMUST00000129956.2|nan	yes	yes
ENSMUST00000063976.9	Opa3	Opa3	ENSMUSG00000052214	Opa3|ENSMUST00000063976.9|nan	yes	yes
ENSMUST00000135454.8	Czib	Czib	ENSMUSG00000028608	Czib|ENSMUST00000135454.8|nan	yes	yes
ENSMUST00000021652.5	Acot4	Acot4	ENSMUSG00000052392	Acot4|ENSMUST00000021652.5|nan	yes	yes
ENSMUST00000006020.8	Cnga2	Cnga2	ENSMUSG00000005864	Cnga2|ENSMUST00000006020.8|nan	yes	yes
ENSMUST00000011055.7	Apip	Apip	ENSMUSG00000010911	Apip|ENSMUST00000011055.7|nan	yes	yes
ENSMUST00000220854.2	Mlh3	Mlh3	ENSMUSG00000021245	Mlh3|ENSMUST00000220854.2|nan	yes	yes
ENSMUST00000102878.11	Meis1	Meis1	ENSMUSG00000020160	Meis1|ENSMUST00000102878.11|nan	yes	yes
ENSMUST00000002502.12	Hltf	Hltf	ENSMUSG00000002428	Hltf|ENSMUST00000002502.12|nan	yes	yes
ENSMUST00000214889.2	Ccdc7a	Ccdc7a	ENSMUSG00000025808	Ccdc7a|ENSMUST00000214889.2|nan	yes	yes
ENSMUST00000106181.8	Mafg	Mafg	ENSMUSG00000051510	Mafg|ENSMUST00000106181.8|nan	yes	yes
ENSMUST00000035481.5	Chchd5	Chchd5	ENSMUSG00000037938	Chchd5|ENSMUST00000035481.5|nan	yes	yes
ENSMUST00000234131.2	Slc8a1	Slc8a1	ENSMUSG00000054640	Slc8a1|ENSMUST00000234131.2|nan	yes	yes
ENSMUST00000179207.3	Adgra2	Adgra2	ENSMUSG00000031486	Adgra2|ENSMUST00000179207.3|nan	yes	yes
ENSMUST00000076265.13	Upf3b	Upf3b	ENSMUSG00000036572	Upf3b|ENSMUST00000076265.13|nan	yes	yes
ENSMUST00000010451.8	Tmem86a	Tmem86a	ENSMUSG00000010307	Tmem86a|ENSMUST00000010451.8|nan	yes	yes
ENSMUST00000069215.13	Nol4	Nol4	ENSMUSG00000041923	Nol4|ENSMUST00000069215.13|nan	yes	yes
ENSMUST00000172993.2	Bag6	Bag6	ENSMUSG00000024392	Bag6|ENSMUST00000172993.2|nan	yes	yes
ENSMUST00000154115.3	Tent4b	Tent4b	ENSMUSG00000036779	Tent4b|ENSMUST00000154115.3|nan	yes	yes
ENSMUST00000026427.8	Esyt1	Esyt1	ENSMUSG00000025366	Esyt1|ENSMUST00000026427.8|nan	yes	yes
ENSMUST00000209172.2	Slc6a5	Slc6a5	ENSMUSG00000039728	Slc6a5|ENSMUST00000209172.2|nan	yes	yes
ENSMUST00000096250.5	Arid2	Arid2	ENSMUSG00000033237	Arid2|ENSMUST00000096250.5|nan	yes	yes
ENSMUST00000033553.14	Heph	Heph	ENSMUSG00000031209	Heph|ENSMUST00000033553.14|nan	yes	yes
ENSMUST00000073601.5	Prl3d3	Prl3d3	ENSMUSG00000062201	Prl3d3|ENSMUST00000073601.5|nan	yes	yes
ENSMUST00000105572.3	Perm1	Perm1	ENSMUSG00000078486	Perm1|ENSMUST00000105572.3|nan	yes	yes
ENSMUST00000102522.5	Cela3b	Cela3b	ENSMUSG00000023433	Cela3b|ENSMUST00000102522.5|nan	yes	yes
ENSMUST00000170988.2	Cyp39a1	Cyp39a1	ENSMUSG00000023963	Cyp39a1|ENSMUST00000170988.2|nan	yes	yes
ENSMUST00000249760.1	ENSMUSG00000121904	ENSMUSG00000121904	ENSMUSG00000121904	ENSMUSG00000121904|ENSMUST00000249760.1|nan	yes	yes
ENSMUST00000110700.2	Cdan1	Cdan1	ENSMUSG00000027284	Cdan1|ENSMUST00000110700.2|nan	yes	yes
ENSMUST00000107820.2	Luc7l3	Luc7l3	ENSMUSG00000020863	Luc7l3|ENSMUST00000107820.2|nan	yes	yes
ENSMUST00000021689.14	Evl	Evl	ENSMUSG00000021262	Evl|ENSMUST00000021689.14|nan	yes	yes
ENSMUST00000022102.9	Clptm1l	Clptm1l	ENSMUSG00000021610	Clptm1l|ENSMUST00000022102.9|nan	yes	yes
ENSMUST00000126417.3	Ncr1	Ncr1	ENSMUSG00000062524	Ncr1|ENSMUST00000126417.3|nan	yes	yes
ENSMUST00000022641.9	Adamdec1	Adamdec1	ENSMUSG00000022057	Adamdec1|ENSMUST00000022641.9|nan	yes	yes
ENSMUST00000029175.14	Src	Src	ENSMUSG00000027646	Src|ENSMUST00000029175.14|nan	yes	yes
ENSMUST00000162666.4	Clec2i	Clec2i	ENSMUSG00000030365	Clec2i|ENSMUST00000162666.4|nan	yes	yes
ENSMUST00000032627.5	Tubgcp5	Tubgcp5	ENSMUSG00000033790	Tubgcp5|ENSMUST00000032627.5|nan	yes	yes
ENSMUST00000036315.16	Gria1	Gria1	ENSMUSG00000020524	Gria1|ENSMUST00000036315.16|nan	yes	yes
ENSMUST00000153963.2	Casd1	Casd1	ENSMUSG00000015189	Casd1|ENSMUST00000153963.2|nan	yes	yes
ENSMUST00000043907.14	Mrps34	Mrps34	ENSMUSG00000038880	Mrps34|ENSMUST00000043907.14|nan	yes	yes
ENSMUST00000227089.2	Ankrd28	Ankrd28	ENSMUSG00000014496	Ankrd28|ENSMUST00000227089.2|nan	yes	yes
ENSMUST00000089378.5	Pdxp	Pdxp	ENSMUSG00000116165	Pdxp|ENSMUST00000089378.5|nan	yes	yes
ENSMUST00000085056.8	Serpina1a	Serpina1a	ENSMUSG00000066366	Serpina1a|ENSMUST00000085056.8|nan	yes	yes
ENSMUST00000100439.10	Sun2	Sun2	ENSMUSG00000042524	Sun2|ENSMUST00000100439.10|nan	yes	yes
ENSMUST00000113735.3	Dlg3	Dlg3	ENSMUSG00000000881	Dlg3|ENSMUST00000113735.3|nan	yes	yes
ENSMUST00000037025.16	Kdm1b	Kdm1b	ENSMUSG00000038080	Kdm1b|ENSMUST00000037025.16|nan	yes	yes
ENSMUST00000047177.4	Nxt1	Nxt1	ENSMUSG00000036992	Nxt1|ENSMUST00000047177.4|nan	yes	yes
ENSMUST00000056937.12	Hscb	Hscb	ENSMUSG00000043510	Hscb|ENSMUST00000056937.12|nan	yes	yes
ENSMUST00000028554.4	Lpcat4	Lpcat4	ENSMUSG00000027134	Lpcat4|ENSMUST00000028554.4|nan	yes	yes
ENSMUST00000086795.8	Barhl2	Barhl2	ENSMUSG00000034384	Barhl2|ENSMUST00000086795.8|nan	yes	yes
ENSMUST00000109914.2	Zfp345	Zfp345	ENSMUSG00000074731	Zfp345|ENSMUST00000109914.2|nan	yes	yes
ENSMUST00000030622.3	Syf2	Syf2	ENSMUSG00000028821	Syf2|ENSMUST00000030622.3|nan	yes	yes
ENSMUST00000140703.8	Igfn1	Igfn1	ENSMUSG00000051985	Igfn1|ENSMUST00000140703.8|nan	yes	yes
ENSMUST00000018841.3	Aatf	Aatf	ENSMUSG00000018697	Aatf|ENSMUST00000018841.3|nan	yes	yes
ENSMUST00000207717.2	Ano5	Ano5	ENSMUSG00000055489	Ano5|ENSMUST00000207717.2|nan	yes	yes
ENSMUST00000207874.2	Pgpep1l	Pgpep1l	ENSMUSG00000030553	Pgpep1l|ENSMUST00000207874.2|nan	yes	yes
ENSMUST00000176194.8	Plch2	Plch2	ENSMUSG00000029055	Plch2|ENSMUST00000176194.8|nan	yes	yes
